key,lat,lon
Vendée;La Boissière;Mouchamps,46.7849,-1.02735
Hautes-Alpes;La Mandette-Vallée de la Guisane;Le Casset,44.9853,6.48022
La Réunion;3 bassins les hauts;3 bassins,-21.0996,55.2909
La Réunion;3 bassins radier;3 bassins,-21.1031,55.2775
Corse-du-Sud;A Richiusa;Bocognano,42.0823,9.06235
Haute-Corse;A Torra di Seneca;Luri,42.8923,9.44023
Haute-Corse;A Tozza;Patrimonio,42.7062,9.37046
Haute-Savoie;Ablon;Dingy-St-Clair,,
Haute-Savoie;Abondance;Abondance,46.2805,6.71981
Hautes-Alpes;Agnielles;La Faurie,44.5672,5.73992
Côte-d'Or;Ahuy;Ahuy,47.3704,5.01316
Alpes-Maritimes;Aiglun - Clue d'Aiglun;Aiglun,43.8577,6.91464
Alpes-Maritimes;Aiglun - Mont-Mail;Aiglun,,
Alpes-Maritimes;Aiglun - Riolan;Aiglun,43.8577,6.91464
Drôme;Aiguille de Buis;Buis-les-Baronnies,44.2863,5.28963
Drôme;Aiguille de La Britière;Saint-Agnan-en-Vercors,44.905,5.43977
Bouches-du-Rhône;Aiguille de la Floride;Aubagne,43.3001,5.57223
Drôme;Aiguille de Saint-Benoit-En-Diois;Saint-Benoit-En-Diois,44.6499,5.28365
Drôme;Aiguilles de Bénevise;Treschenu,44.7363,5.52762
Var;Aiguines-Verdon - Bauchet;Aiguines,43.7495,6.32187
Var;Aiguines-Verdon - Col d'Illoire;Aiguines,43.7744,6.25517
Var;Aiguines-Verdon - Le Galetas;Aiguines,43.8045,6.25361
Var;Aiguines-Verdon - Les Cavaliers;Aiguines,43.7371,6.34717
Var;Aiguines-Verdon - Les Hauts Vernis;Aiguines,43.7913,6.25255
Var;Aiguines-verdon - Pantin du néant;Aiguines,43.7356,6.35724
Var;Aiguines-Verdon - Pas de Gairoù;Aiguines,43.7991,6.2545
Var;Aiguines-Verdon - Petites pointes;Aiguines,43.7441,6.33177
Var;Aiguines-Verdon - Sallières;Aiguines,43.7447,6.32897
Var;Aiguines-Verdon - Vallon d'Estay;Aiguines,43.7582,6.23363
Hautes-Alpes;Ailefroide;Pelvoux,44.8953,6.45103
Hautes-Alpes;Ailefroide /blocs;Pelvoux,44.896,6.45378
Tarn;Alban - Roc Saint-Michel;le Fraysse,43.8977,2.4427
"Pyrénées-Orientales;Albères,Valespir - Coustouges;Coustouges",42.3673,2.65017
"Pyrénées-Orientales;Albères,Valespir - La Massanne, Roc del Corb;Argelès-sur-Mer",42.5405,3.02758
"Pyrénées-Orientales;Albères,Valespir - Puig Naud, Château d'Ultrera Face Nord;Argelès-sur-Mer",42.5164,2.97896
"Pyrénées-Orientales;Albères,Vallespir - Puig Naud, Château d'Ultréra Face Sud;Argelès sur Mer",42.5153,2.9803
Haute-Corse;Albertacce;Albertacce,,
Savoie;Albiez-le-Vieux;Albiez-le-Vieux,45.218,6.34089
Haute-Savoie;Allèves;Allèves,45.7518,6.08053
Ariège;Alliat;Alliat,42.8173,1.58649
Haute-Savoie;Allinges;Allinges,46.3357,6.46502
Finistère;Allons Z'enfants - Défense de Gerber - les Dalles Grises - Liqueur de Chair - Siesta Latina - Primel;Plougasnou - Pointe de Primel,48.7149,-3.8189
Haute-Savoie;Allonzier-la-Caille;Allonzier-la-Caille,46.0029,6.11653
Saône-et-Loire;Ameugny;Cormatin (Ameugny),,
Mayenne;Andouille/ La Janvrie;Andouille,48.1773,-0.813707
Charente;Angeliers;Cognac,45.6934,-0.324972
Indre;Anglin rive droite - La Dube;Mérigny,46.6428,0.93417
Indre;Anglin Rive Droite - Rochers de Rives;Lurais,46.7051,0.951298
Vienne;Anglin Rive Gauche - La Guignoterie;Saint-Pierre de Maillé,46.6675,0.906851
Haute-Savoie;Angon;Talloires,45.8396,6.21461
Alpes-de-Haute-Provence;Annot - La dalle de la Beïte;Annot,43.9659,6.66755
Alpes-de-Haute-Provence;Annot - La Gare;Annot,43.9926,6.65475
Alpes-de-Haute-Provence;Annot - Le Jardin du Roi;Annot,43.9659,6.66755
Charente;Anqueville;Saint-Même-les-Carrières,45.6465,-0.143595
Haute-Savoie;Anthon;Mieussy,46.1336,6.52314
Ariège;Arabaux;Arabaux,42.9847,1.64308
Ain;Arbignieu;Arbignieu,,
Savoie;Arbin;Arbin,,
Corse-du-Sud;Arbori;Arbori,,
Savoie;Arc 2000;Arc 2000,,
Lot;Arcambal;Arcambal,44.4388,1.56238
Côte-d'Or;Arcenant;Arcenant,47.1484,4.82596
Drôme;Archiane;Treschenu-Creyers,44.7559,5.49725
Savoie;Arête des amis;Peisey-Nancroix,,
Pyrénées-Atlantiques;Arette - Pont du Hourat;Arette,43.0731,-0.746697
Finistère;ARGOL-secteurs équipés;ARGOL,48.2359,-4.2895
Pyrénées-Atlantiques;Arguibelle;Lanne-en-Barétous -Montory,43.0855,-0.790945
"Alpes-Maritimes;Arimonda, la discothèque, le col;Tende",44.0878,7.59331
Savoie;Arith;Arith,45.6853,6.13758
Ain;Armix;Armix,45.849,5.58588
Haute-Savoie;Arpenaz;Sallanches,45.931,6.60901
Hautes-Alpes;Arsine;Villar-d'Arène,45.0,6.37229
Hautes-Alpes;Arsine-Marmottes-Fanfare;nan,,
Pyrénées-Atlantiques;Arudy - Cirque d'Anglas;Arudy,43.1003,-0.455255
Hautes-Alpes;Arvieux;Arvieux,44.7661,6.73947
Bas-Rhin;Aspenthal - Zinswiller;Zinswiller,48.9197,7.58978
Bouches-du-Rhône;Aubagne - La Coueste;Aubagne,43.2721,5.57344
Gard;Aubais;Aubais,43.7547,4.14912
"Bouches-du-Rhône;Aureille, la Civadière;Aureille",43.7212,4.95313
Bouches-du-Rhône;Aurons;Aurons,43.6704,5.14946
Cantal;Auteroche;le Monteil,,
Lot;Autoire;Autoire,44.8481,1.81177
Lot;autour du Liauzu - La Pescalerie;Cabrerets,44.5142,1.67072
Lot;Autour du Liauzu - Les granges;Orniac,44.5197,1.68232
Lot;Autour du liauzu- Anglanat;Sauliac-sur-Célé,44.5187,1.69584
Ardèche;Autridge;Saint-Remèze,44.3914,4.50011
Ariège;Auzat;Auzat,42.7671,1.47947
"Gers;Avezan, Milwaukee;Avezan",43.8762,0.795531
Ariège;Ax-les-Thermes - Dalles de la Piscine;Ax-les-Thermes,42.7204,1.83976
Isère;Bachat Bouloud;Chamrousse,45.0885,5.87086
Lozère;Badaroux-Pelgeires;Badaroux,44.5365,3.54957
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Beaudéan;Beaudéan",43.0243,0.166097
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Casque du Lhéris;Asté, Asque",43.0417,0.169458
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Crastes;Asté",43.0414,0.167736
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - La Séoube;La Séoube",42.9629,0.249486
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Lesponne;Baudéan",43.0284,0.167995
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Rocher de Salut;Bagnères-de-Bigorre",43.0651,0.150121
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Sainte-Marie-de-Campan, Trassaouet;Sainte-Marie-de-Campan",42.9851,0.227306
"Hautes-Pyrénées;Bagnères-de-Bigorre, le Haut-Adour - Tucou;Bagnères-de-Bigorre",43.0651,0.150121
Savoie;Baie de Grésine;Brison Saint Innocent,45.7329,5.89526
Haute-Savoie;Ballancy;Arâches,46.043,6.63224
Haute-Savoie;Balme;Magland et Arâches,46.043,6.63224
Isère;Balme Etrange;Choranche,45.0709,5.39915
"Haute-Savoie;Balmette & Superbalmette;Arâches, Magland",46.0427,6.63557
Hérault;Banlieue de Montpellier - Castelnau;Castelnau-le-Lez,43.6328,3.89397
Hérault;Banlieue de Montpellier - Fabrègues;Fabrègues,43.5519,3.77398
Hérault;Banlieue de Montpellier - La Valette;Montpellier,43.6047,3.90117
Hérault;Banlieue de Montpellier - Le Creux de la Miège;Montpellier,,
Calvados;Banville;Banville,49.3125,-0.492186
Bouches-du-Rhône;Baou de l'Aigle;Cadolive,,
Alpes-Maritimes;Baou de Saint-Jeannet;Saint-Jeannet,43.7636,7.14132
Haute-Savoie;Barberine;Le Châtelard (Suisse),46.6774,6.97797
Drôme;Barbières;Barbières,44.9525,5.1439
Savoie;Barme du Che;Bourg St Maurice,,
Savoie;Barre des Colombette;St Foy en Tarentaise,,
Bouches-du-Rhône;Barres rocheuses des 4 Vents;Istres,,
Hautes-Alpes;Barthalay;Les Vigneaux,44.8247,6.54237
La Réunion;Basse Vallée;Saint Philippe,-21.3757,55.7015
Essonne;Basse Vallée de l'Ecole - Beauvais;Champcueil,48.5147,2.44641
Essonne;Basse Vallée de l'Ecole - La Padôle;Mondeville,48.4912,2.41528
Essonne;Basse Vallée de l'Ecole - Le Puy-Sauvage;Baulne,48.4932,2.36097
Essonne;Basse Vallée de l'Ecole - Videlles;Videlles,48.4684,2.41811
Alpes-Maritimes;Basse vallée du Var - Bonson;Bonson,43.8683,7.18641
Alpes-Maritimes;Basse vallée du Var - Duranus;Duranus,43.8943,7.25845
Alpes-Maritimes;Basse vallée du Var - Gilette;Gilette,43.8503,7.16339
Alpes-Maritimes;Basse vallée du Var - La Roquette-sur-Var;La Roquette-sur-Var,43.8332,7.20197
Alpes-Maritimes;Basse vallée du Var - Le Broc;Le Broc,43.8091,7.16896
Ariège;Bassiès;Auzat,42.7671,1.47947
La Réunion;Bassin long;nan,,
La Réunion;Bassin Malheur;St Gilles les bains,-21.0446,55.2487
La Réunion;Bassin Plat;Saint-Pierre,-21.3282,55.4864
Bouches-du-Rhône;Bastion central de l'Etoile;Marseille,43.3847,5.42884
Bouches-du-Rhône;Baù de Bartagne;Gémenos,,
"Bouches-du-Rhône;Baù de Cadolive, Mont Julien;Cadolive",,
Bouches-du-Rhône;Baume Canouille;Vitrolles,43.4678,5.24106
Drôme;Baume Noire;Beauvoisin,44.3017,5.23529
Drôme;Baume Rousse;Buis les Baronnies,44.3022,5.28222
"Doubs;Baume-les-Dames - Beaumerousse, Champvans;Baume-les-Dames",47.3429,6.33205
Doubs;Baume-les-Dames - La Fente de Babre;Baume-les-Dames,47.3455,6.37928
Doubs;Baume-les-Dames - Lonot;Baume les dames,47.3521,6.3805
Doubs;Baume-les-Dames - Rocher du Quint;Baume-les-Dames,47.3417,6.33862
Doubs;Baume-les-Dames - Sous-Buen;Baume-les Dames,47.3478,6.37175
Corse-du-Sud;Bavella - le col;Quenza,41.7641,9.13651
Corse-du-Sud;Bavella - les grandes voies;Quenza,41.7657,9.13513
Dordogne;Bayac - Rocher du Corbeau;Bayac,44.8035,0.726551
Dordogne;Bayac - Termes de Montbrun;Bayac,44.8035,0.726551
Ariège;Baychon;Miglos,42.7841,1.603
Ardèche;Beaume Escure;Berrias-et-Casteljau,44.3747,4.20128
Ardèche;Beaumiral;Le Pouzin,44.7527,4.7483
Hautes-Alpes;Beauregard;L'Argentière-la-Bessée,44.7933,6.55898
Vienne;Beauvoir;Vouneuil-sous-Biard,46.6099,0.263361
Côtes-d'Armor;Belle Isle en terre - Rocher de la Pie;Belle Isle en Terre-louargat,48.526,-3.35815
"Morbihan;Belle-Île-en-Mer;le Palais, Bangor, Sauzon, Locmaria",47.3473,-3.15599
Jura;Bellecin;Orgelet,,
Haute-Savoie;Bellevaux - Rocher de Porte;Bellevaux,46.2559,6.52959
Ain;Belleydoux;Belleydoux,46.2531,5.77789
Ariège;Belloc;Belloc,43.0133,1.93139
Haute-Savoie;Bellosset;Onnion,46.1714,6.47957
Haut-Rhin;Bergholtz;Bergholtz,47.9158,7.24591
Aveyron;Bes Beden;Campouriez,44.6894,2.60714
Drôme;Bésignan (col de Bodon);Bésignan,44.316,5.35452
La Réunion;Bethléem;nan,,
Alpes-Maritimes;Beuil;Beuil,44.0948,6.98821
Alpes-Maritimes;Beuil-Valberg;Valberg,44.0953,6.92925
"Alpes-Maritimes;Beuil-Valberg - Guillaume, le Tuébi;Guillaumes",44.0888,6.85359
Alpes-Maritimes;Beuil-Valberg - Roubion;Roubion,44.0924,7.05056
Bouches-du-Rhône;Bibemus;Aix-en-Provence,,
Aisne;Billy sur Aisne;Billy sur Aisne,49.3563,3.3842
Jura;Black Maria;Septmoncel,,
Lozère;Blajoux - Camping del Ron;Quézac,44.369,3.52507
Lozère;Blajoux - Les Jasses;Quézac,44.369,3.52507
Alpes-de-Haute-Provence;Blégiers - le Pas du Loup;Prads-Haute-Bléone,44.2197,6.44176
Alpes-de-Haute-Provence;Blégiers - Pont d'Heyre;Prads,44.2197,6.44176
Savoie;Bloc de la combe de CEROS MARTHOD;Marthod,45.7408,6.37091
Savoie;BLOC DE NÉCUIDET;nan,45.536,6.03705
Savoie;Bloc de Presset (le clocher penché);Beaufort sur Doron,45.649,6.64774
Savoie;Bloc de Tralenta;Bonneval-sur-Arc,45.3753,7.06099
Savoie;BLOC DES SEIGNIERES;Saint-Martin-d'Arc,,
Var;Bloc du Grand Peyloubier Vidauban;Vidauban,43.415,6.45975
Savoie;Bloc equipé Pontamafrey;Pontamafrey,,
Savoie;Blocs de la Madeleine;Lanslevillard,45.3009,6.94842
Savoie;BLOCS DE NÉCUIDET (Voies équipées);nan,,
Haute-Savoie;Blocs de Plaine Joux;Passy,45.9225,6.6869
Savoie;BOIS DE GLAISE;nan,45.6551,5.70559
Vosges;Bois de l'Enfer (Circout-sur-Mouzon);Circourt sur Mouzon,,
"Ardèche;Bois de Païolive;Berrias-et-Casteljau,",44.3747,4.20128
Doubs;Bois des Loges;Remoray-Boujeons 25160,46.7685,6.23988
Ardèche;Bois Laville;Privas,44.7346,4.59888
Vosges;Boislimpré;Ban-sur-Meurthe,48.1712,6.98024
Indre;Boisramier;Ambrault,46.794,1.94273
Seine-et-Marne;Boissy-aux-Cailles;Boissy-aux-Cailles,,
Lot-et-Garonne;Bon-Encontre;Bon-Encontre,44.186,0.67087
Haute-Corse;Bonifato;Calenzana,42.5088,8.85548
Jura;Bonlieu;Bonlieu,46.5997,5.88266
Hautes-Alpes;Bouchier;Saint-Martin-de-Queyrières,44.8323,6.564
Haut-Rhin;Bouclier du Tanet;Soultzeren,48.0627,7.10339
Côte-d'Or;Bouilland;Bouilland,47.1275,4.78292
Mayotte;Boungoudravani;Boueni,,
Ardèche;Bourdary;Lavilledieu,44.5753,4.45331
Creuse;Bourg d'hem;Bourg d'hem,46.2967,1.82759
Haute-Marne;Bourmont 1 le Côna/ Les Roches;Bourmont,48.1934,5.58881
Haute-Marne;Bourmont 2 Rocher du Côna;Bourmont,48.1934,5.58881
Hérault;Bousquet de la Balme caussanel;La Tour-sur-Orb,43.6449,3.1894
Drôme;Bouvante-EDF;Oriol-en-Royans,44.9822,5.26292
Drôme;Bouvaret;Léoncel,44.9511,5.20067
Lozère;Bouviers-en-Margeride - Brugère Basse;Saint-Denis-en-Margeride,44.7356,3.4718
Haute-Corse;Brandu;Brando,42.7775,9.45717
La Réunion;Bras de la Plaine;nan,,
Alpes-Maritimes;Breil-sur-Roya;Breil-sur-Roya,43.938,7.51374
Haute-Savoie;Brévent (petite falaise);Chamonix-Mont-Blanc,45.9396,6.87916
Finistère;Brignogan;Brignogan Brignogan ,48.6645,-4.32685
Savoie;BRISON Entrelacs grande falaise;nan,45.7733,5.86795
Savoie;Brisons les oliviers;Brison Saint Innocent,45.7528,5.88198
Côte-d'Or;Brochon;Brochon,47.2427,4.95513
Aveyron;Brommat - Gourdoux - Coloubiès;Brommat,,
Meuse;Brouennes;Brouennes,,
Drôme;Broute Minou et Simson;Mollans sur Ouvèze,44.2169,5.22861
Drôme;Brudour;Bouvante,44.9307,5.32329
Oise;Bruyères de Frais-Vent;Montlognon,49.1652,2.69449
Haut-Rhin;Buhl-Carrière du bas;Buhl,48.9162,8.00544
Haut-Rhin;Buhl-carrière du haut;Buhl,48.9162,8.00544
Aveyron;Buissières;Brommat,44.8302,2.68365
"Vaucluse;Buoux;Buoux, Bonnieux",43.8224,5.38527
Ardèche;Burzet;Burzet,44.7403,4.24377
Corse-du-Sud;Bussagha;Serriera,,
"Seine-et-Marne;Buthiers, Malesherbes;Buthiers",,
Bouches-du-Rhône;Cabasse;Miramas,43.5867,5.02675
Alpes-de-Haute-Provence;Cadières de Brandis;Castellane,43.8478,6.51169
Ariège;Calamès;Bédeilhac-et-Aynat,42.8738,1.56301
Hautes-Alpes;Caléyères;Embrun,44.5656,6.49689
Cantal;Calvaire de RECOUX;Saint Just,44.8901,3.20831
"Dordogne;Campagne, Roc Fayard;Campagne",44.9074,0.967585
Ariège;Campet;Ustou,42.8075,1.26993
Var;Candelon de la Loube;Brignoles,43.3818,6.03317
Aveyron;Cantobre;Cantobre,,
Savoie;Canyon du Biol;Saint Bon Courchevel,,
Bouches-du-Rhône;Cap Canaille - Falaises Soubeyrane - Cassis;Cassis,43.1952,5.55222
Bouches-du-Rhône;Cap Canaille - Falaises Soubeyrane - La Ciotat;nan,,
"Bouches-du-Rhône;Cap Canaille - Ste Frétouse, Figuerolles, Bec de l'Aigle;La Ciotat",43.1904,5.55702
Manche;Cap de Flamanville;Flamanville,49.5298,-1.86651
Finistère;Cap de la Chèvre;Crozon,48.2453,-4.48654
Manche;Cap de la Hague - Castel-Vendon;Urville-Nacqueville,49.6721,-1.73446
Manche;Cap de la Hague - La Hague;Jobourg,49.6835,-1.90527
La Réunion;Cap de la Houssaye;Saint-Paul,-21.018,55.2378
Haute-Corse;Caporalinu;Omessa / Francardo,42.3978,9.19196
Ariège;Caraybat;Soula,42.943,1.69531
Aude;Cardou;Rennes les bains,42.919,2.31916
Cantal;Carlat;Carlat,,
Saône-et-Loire;Carnaval d'Uchon;Uchon,46.8128,4.25286
Indre;Carrière Chabenet;Le Pont-Chrétien-Chabenet,,
Bas-Rhin;Carrière du Gauxberg;nan,,
Vosges;Carrière Philippe Mengin (Carrière Collot);Epinal,48.1748,6.44998
Moselle;Carrière Vewerberg;nan,,
Moselle;Carrière Vewerberg M Bohr;nan,,
Dordogne;Carsac-Aillac;Carsac-Aillac,,
"Calvados;Carville;Carville, lieu dit Saint Aulin",48.9447,-0.89414
Haute-Savoie;Cascade (Flaine);Arâches-la-Frasse,46.043,6.63224
Haute-Savoie;Cascade de Doran;Sallanches,45.9384,6.62991
